,F,V_inn,V_ut,phase,dB
106,26000.000000000015,5.1,4.7,-19.34,-0.7094463632443775
107,27000.000000000015,5.1,4.7,-19.97,-0.7094463632443775
108,28000.000000000015,5.1,4.7,-17.8,-0.7094463632443775
109,29000.00000000002,5.1,4.7,-17.72,-0.7094463632443775
110,30000.00000000002,5.1,4.7,-16.93,-0.7094463632443775
111,31000.00000000002,5.1,4.7,-15.53,-0.7094463632443775
112,32000.00000000002,5.1,4.7,-16.2,-0.7094463632443775
113,33000.00000000002,5.1,4.7,-15.75,-0.7094463632443775
114,34000.00000000002,5.1,4.7,-15.06,-0.7094463632443775
115,35000.00000000002,5.1,4.7,-14.91,-0.7094463632443775
116,36000.00000000002,5.1,4.7,-13.99,-0.7094463632443775
117,37000.00000000002,5.1,4.8,-13.98,-0.5265787744469831
118,38000.00000000002,5.1,4.8,-13.1,-0.5265787744469831
119,39000.00000000003,5.1,4.8,-13.53,-0.5265787744469831
120,40000.00000000003,5.1,4.8,-12.31,-0.5265787744469831
121,41000.00000000003,5.1,4.8,-12.97,-0.5265787744469831
122,42000.00000000003,5.1,4.8,-12.12,-0.5265787744469831
123,43000.00000000002,5.1,4.8,-12.6,-0.5265787744469831
124,44000.00000000003,5.1,4.8,-11.26,-0.5265787744469831
125,45000.00000000004,5.1,4.8,-11.3,-0.5265787744469831
126,46000.00000000003,5.1,4.8,-11.77,-0.5265787744469831
127,47000.00000000003,5.1,4.8,-11.28,-0.5265787744469831
128,48000.00000000004,5.1,4.8,-10.72,-0.5265787744469831
129,49000.00000000004,5.1,4.8,-10.54,-0.5265787744469831
130,50000.00000000004,5.1,4.8,-10.31,-0.5265787744469831
131,51000.00000000003,5.1,4.8,-9.6,-0.5265787744469831
132,52000.00000000004,5.1,4.8,-9.28,-0.5265787744469831
133,53000.000000000044,5.1,4.8,-9.4,-0.5265787744469831
134,54000.00000000004,5.1,4.9,-9.43,-0.3474819213884528
135,55000.00000000004,5.1,4.8,-8.33,-0.5265787744469831
136,56000.000000000044,5.1,4.9,-8.66,-0.3474819213884528
137,57000.000000000044,5.1,4.8,-7.8,-0.5265787744469831
138,58000.000000000044,5.1,4.9,-8.64,-0.3474819213884528
139,59000.00000000004,5.1,4.9,-8.19,-0.3474819213884528
140,60000.000000000044,5.1,4.8,-7.62,-0.5265787744469831
141,61000.00000000005,5.1,4.9,-7.92,-0.3474819213884528
142,62000.000000000044,5.1,4.9,-8.19,-0.3474819213884528
