,F,V_inn,V_ut,phase,dB
127,47000.00000000003,5.0,3.34,44.6,-3.5044707504890877
128,48000.00000000004,5.0,3.34,44.97,-3.5044707504890877
129,49000.00000000004,5.0,3.26,48.42,-3.7150480853615973
130,50000.00000000004,5.1,3.18,48.56,-4.102861122270072
131,51000.00000000003,5.1,3.18,48.49,-4.102861122270072
132,52000.00000000004,5.0,3.1,51.09,-4.152166210034923
133,53000.000000000044,5.0,3.02,50.19,-4.379261227577364
134,54000.00000000004,5.1,3.02,51.87,-4.551264662815714
135,55000.00000000004,5.0,2.93,53.06,-4.6420476796381855
136,56000.000000000044,5.0,2.89,54.13,-4.761443231589418
137,57000.000000000044,5.1,2.85,55.22,-5.054506321788523
138,58000.000000000044,5.1,2.81,54.53,-5.177277123857129
139,59000.00000000004,5.1,2.73,54.9,-5.428150581143607
140,60000.000000000044,5.0,2.73,57.34,-5.2561471459052544
141,61000.00000000005,5.1,2.69,56.92,-5.556357921910568
142,62000.000000000044,5.1,2.65,57.37,-5.686486043222569
143,63000.000000000044,5.1,2.61,58.33,-5.8185933751931085
144,64000.00000000005,5.1,2.53,58.91,-6.088993098442369
145,65000.00000000005,5.1,2.53,58.85,-6.088993098442369
146,66000.00000000004,5.1,2.49,58.87,-6.2274165800439985
147,67000.00000000004,5.1,2.49,58.69,-6.2274165800439985
148,68000.00000000006,5.1,2.41,59.0,-6.511062670461358
149,69000.00000000006,5.1,2.37,61.32,-6.656436601756649
150,70000.00000000006,5.1,2.37,61.05,-6.656436601756649
151,71000.00000000004,5.1,2.33,60.2,-6.804285101438347
152,72000.00000000006,5.1,2.29,62.18,-6.954693875160967
153,73000.00000000006,5.1,2.29,63.2,-6.954693875160967
154,74000.00000000006,5.1,2.25,63.7,-7.107753159731477
155,75000.00000000006,5.1,2.21,61.77,-7.263558048256513
156,76000.00000000006,5.1,2.21,63.1,-7.263558048256513
157,77000.00000000006,5.1,2.13,64.78,-7.583811453183973
158,78000.00000000006,5.1,2.13,65.37,-7.583811453183973
159,79000.00000000006,5.1,2.09,64.79,-7.748477799737648
160,80000.00000000007,5.1,2.05,63.8,-7.916326300843641
161,81000.00000000007,5.1,2.05,63.74,-7.916326300843641
162,82000.00000000006,5.1,2.05,65.78,-7.916326300843641
163,83000.00000000006,5.1,1.97,64.28,-8.262078998726869
164,84000.00000000006,5.1,1.97,64.51,-8.262078998726869
165,85000.00000000007,5.1,1.93,65.91,-8.440257341803253
166,86000.00000000007,5.1,1.87,64.85,-8.714571391228747
167,87000.00000000006,5.1,1.85,64.68,-8.80796895389845
168,88000.00000000007,5.1,1.83,67.13,-8.902381727350136
